step,time,requested_bdf_order,bdf_order,attempts,retry,restart_recovery,temporal_fallback,terminal_audit_present,final_flux_revision,eos,eos_tolerance,continuity,continuity_tolerance,energy,energy_tolerance,closed_mass,closed_mass_tolerance,gauge,gauge_tolerance,p_min,p_max,T_min,T_max,rho_min,rho_max,provisional_cfl_out,provisional_cfl_abs,provisional_cfl_limit,committed_cfl_out,committed_cfl_abs,committed_cfl_limit,afc_metrics_applicable,afc_retained_l1_ratio,afc_minimum_face_alpha,afc_active_correction_faces,afc_limited_faces,afc_limited_face_fraction,afc_limited,thermo_predictor_theta,thermo_predictor_limited,pressure_solve_calls,refinement_solve_calls,linear_iterations,max_rank_step_ns,included,exclusion
1001,0.013822721184252608,1,1,1,0,1,0,1,3,0,9.9999999999999995e-07,1.4113772760194096e-07,9.9999999999999995e-07,9.5548253058214091e-07,9.9999999999999995e-07,0,9.9999999999999995e-07,0,9.9999999999999995e-07,107112.15463554389,107141.94289374749,299.9854060370028,300.16204921935304,1.2385262290737435,1.2392434978138007,0.23059418166863827,0.23059602851746544,0.80000000000000004,0.23011947444681294,0.23012061053738567,0.80000000000000004,1,0.99992433169042538,5.1030691431450121e-07,17940416,30406,0.0016948324944081564,1,1,0,2,5,220,10610004015,0,restart_recovery
1002,0.013836530096524588,2,2,1,0,0,0,1,4,0,9.9999999999999995e-07,1.8076185982936551e-07,9.9999999999999995e-07,7.9542457253026065e-07,9.9999999999999995e-07,0,9.9999999999999995e-07,0,9.9999999999999995e-07,107112.18087027685,107141.96213006748,299.98612026208684,300.16228522818005,1.2385252552567889,1.2392436563621287,0.23011145310148995,0.23011404744227595,0.80000000000000004,0.2298867969174839,0.22988992874915046,0.80000000000000004,1,0.99992006573149106,1.1652052005152452e-06,17940391,8253,0.00046002341866462109,1,1,0,2,4,161,8450102742,0,development
1003,0.013850339008796569,2,2,1,0,0,0,1,5,0,9.9999999999999995e-07,1.0380048168679051e-07,9.9999999999999995e-07,5.866511633625298e-07,9.9999999999999995e-07,0,9.9999999999999995e-07,0,9.9999999999999995e-07,107112.20643047144,107141.9855696802,299.98603483588346,300.16263273571008,1.2385238213779335,1.2392438498952703,0.22936715631661317,0.22936738321167019,0.80000000000000004,0.22906438605466176,0.22906598406916948,0.80000000000000004,1,0.99990773624677032,1.3584067215035197e-06,17940393,4518,0.00025183394811919673,1,1,0,2,4,160,8464260573,0,development
1004,0.01386414792106855,2,2,1,0,0,0,1,6,0,9.9999999999999995e-07,9.0921488605699715e-08,9.9999999999999995e-07,4.9277393943301963e-07,9.9999999999999995e-07,0,9.9999999999999995e-07,0,9.9999999999999995e-07,107112.22968143792,107142.01132149535,299.98642113462847,300.16300019273945,1.2385223051874503,1.2392440634109738,0.22814504019179938,0.22814477207696962,0.80000000000000004,0.22795770012511204,0.22795880717243877,0.80000000000000004,1,0.99993466835759193,1.3304675056527083e-06,17940438,2059,0.00011476865837946654,1,1,0,2,5,196,9390109058,0,development
1005,0.013877956833340531,2,2,1,0,0,0,1,7,0,9.9999999999999995e-07,2.1627058688178316e-07,9.9999999999999995e-07,8.8687709069795223e-07,9.9999999999999995e-07,0,9.9999999999999995e-07,0,9.9999999999999995e-07,107112.25765843256,107142.03849193097,299.98660449496066,300.16335699968994,1.2385208329445647,1.2392442896838995,0.22780040731002871,0.22779964852477774,0.80000000000000004,0.22797620305067678,0.2279774207917416,0.80000000000000004,1,0.9999459173987767,1.1612130069991939e-06,17940392,1036,5.7746787249687741e-05,1,1,0,2,4,178,8926465708,0,development
1006,0.013891765745612511,2,2,1,0,0,0,1,8,0,9.9999999999999995e-07,1.8407511294645907e-07,9.9999999999999995e-07,7.2272001536595905e-07,9.9999999999999995e-07,0,9.9999999999999995e-07,0,9.9999999999999995e-07,107112.2999913697,107142.06687073373,299.98692189807809,300.16370110777842,1.2385194131025428,1.2392445247059731,0.22764397915385087,0.2276429731321476,0.80000000000000004,0.22732790601735711,0.22732895948137744,0.80000000000000004,1,0.99990203765896357,1.0761451547830911e-06,17940352,1105,6.1592994384948517e-05,1,1,0,2,4,175,8824240809,0,development
1007,0.013905574657884492,2,2,1,0,0,0,1,9,0,9.9999999999999995e-07,1.6282167183499073e-07,9.9999999999999995e-07,8.7165504145873623e-07,9.9999999999999995e-07,0,9.9999999999999995e-07,0,9.9999999999999995e-07,107112.35839034666,107142.09622083165,299.98709531270072,300.16403714798491,1.2385180265529638,1.2392447649934004,0.22609418789593316,0.22609222386303429,0.80000000000000004,0.22572560505894301,0.22572558431087189,0.80000000000000004,1,0.99993546965906122,4.5616945577349288e-07,17940411,1617,9.0131714373767696e-05,1,1,0,2,4,165,8614429299,0,development
1008,0.013919383570156473,2,2,1,0,0,0,1,10,0,9.9999999999999995e-07,2.0023191838768053e-07,9.9999999999999995e-07,8.2893368362983762e-07,9.9999999999999995e-07,0,9.9999999999999995e-07,0,9.9999999999999995e-07,107112.42415139251,107142.12651333748,299.98693614994494,300.16436877836861,1.2385166582019831,1.2392450143742086,0.22385665858939938,0.22385287504024701,0.80000000000000004,0.22365593993461602,0.22365400550695824,0.80000000000000004,1,0.99991674364405769,7.8075606599950023e-07,17940433,3661,0.00020406419399130444,1,1,0,2,4,166,8719491398,0,development
1009,0.013933192482428454,2,2,1,0,0,0,1,11,0,9.9999999999999995e-07,6.2336875263100061e-08,9.9999999999999995e-07,4.80357945615556e-07,9.9999999999999995e-07,0,9.9999999999999995e-07,0,9.9999999999999995e-07,107112.48078406914,107142.15692295648,299.98597252337544,300.16469772352656,1.2385153009335874,1.2392452662303812,0.22207819788100103,0.22207809808773349,0.80000000000000004,0.22154153458747322,0.22154247132829435,0.80000000000000004,1,0.99991351694617014,7.7983252024350053e-07,17940432,7788,0.00043410325905195591,1,1,0,2,4,161,8494477991,0,development
1010,0.013947001394700434,2,2,1,0,0,0,1,12,0,9.9999999999999995e-07,5.804323998702357e-08,9.9999999999999995e-07,4.7242427787025557e-07,9.9999999999999995e-07,0,9.9999999999999995e-07,0,9.9999999999999995e-07,107112.53902321955,107142.18587444443,299.98600504487672,300.16502439233574,1.2385139530606319,1.2392455057868301,0.22358738535804287,0.22358908696884827,0.80000000000000004,0.22388242808768516,0.22388342395518598,0.80000000000000004,1,0.99989491626352422,6.622839922180095e-07,17940361,15184,0.00084635978060865105,1,1,0,2,5,197,9642741155,0,development
