step,rank,full_step_ns,advance_ns,observables_ns,visit_ns,evidence_resources_ns,csv_ns,checkpoint_ns,candidate_ns,state_copy_ns,velocity_halo_ns,thermo_ns,boundary_derived_ns,flux_ns,certificate_ns,residual_ns,equivalence_hash_ns,schur_prepare_ns,krylov_ns,recovery_ns,baseline_evaluations,extrapolation_evaluations,ladder_evaluations,incomplete_evaluations,rejected_extrapolations,reported_collective_subtotal,structured_control,ibm_control,pressure_calls,pressure_prepare_ns,pressure_solve_ns,pressure_close_ns,diagonal_calls,diagonal_prepare_ns,diagonal_solve_ns,diagonal_close_ns,spatial_calls,spatial_prepare_ns,spatial_solve_ns,spatial_close_ns,A_apply_ns,M_apply_ns,arnoldi_dot_ns,arnoldi_reduce_ns,arnoldi_update_ns,final_momentum_ns,terminal_metrics_ns,boundary_ledger_ns,structured_wait_ns,structured_control_ns,dropped_loops,scalar_remap_ns,scalar_coupling_sweeps,scalar_remap_iterations
1001,14,10621513972,10609878612,11150675,40,401122,83493,30,2487213799,722922,116255609,230710693,604692144,506607641,198961852,658541558,170684689,239814927,4704288441,18973286,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92893163,3492602348,16358145,1,146921764,1211686093,2615141,1652948943,2350924674,99488087,193205872,34774034,198637283,5124719,31303690,395745177,450778045,0,0,0,0
1001,15,10621512462,10609879872,11146575,40,402862,83083,30,2487257770,654989,116195675,229155584,606400388,507056351,198338167,658688241,170739364,239752163,4704292691,19030980,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92863471,3492576207,16408838,1,146888692,1211716484,2622142,1624006577,2356261701,97683187,217013772,37240805,198569591,5191931,31303880,440717370,474859931,0,0,0,0
1001,16,10621512952,10609884142,11142535,50,402322,83873,30,2492375383,576851,116250049,232901360,602486234,504934385,200649877,658489159,176058336,239791727,4704340462,18918035,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92870263,3492726591,16233922,1,146921464,1211613871,2684113,1672430209,2357287976,98041311,184802359,35293680,198621213,5141119,31293689,398796258,406109525,0,0,0,0
1001,17,10621513422,10609885852,11143735,50,400432,83323,30,2490784320,710521,116225585,233831681,601718073,504968109,200415148,658647801,174242790,239759823,4704353676,18943023,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92874721,3492684233,16289601,1,146885102,1211669443,2653422,1657284022,2354169564,99901840,192544468,35176581,198571871,5189011,31305229,388513585,384540055,0,0,0,0
1001,18,10621512112,10609883632,11139715,50,404712,83973,30,2492757092,820823,116160617,231958150,604509578,504179474,200339176,658484407,176273143,239827277,4704331823,18929594,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92909353,3492578988,16380405,1,146917924,1211752835,2549189,1688335456,2349064998,94446773,174317682,36788525,198633403,5125859,31308460,369984735,379761666,0,0,0,0
1001,19,10621509572,10609880892,11144515,50,400652,83423,40,2492230233,761225,116255365,233892084,601660360,504947547,200420839,658667353,175602965,239733793,4704400386,18907655,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92856691,3492740423,16242343,1,146877102,1211659963,2665312,1659931347,2352283557,101836813,194452109,36407978,198571921,5189081,31299259,410155565,380354135,0,0,0,0
1001,20,10621516042,10609911383,11117794,50,402862,83923,30,2493070320,823126,116164156,233453177,601938307,505011269,200584815,658487858,176580081,239819688,4704282181,18963337,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92896094,3492634089,16314155,1,146923594,1211648092,2649182,1661306028,2346371399,98877551,199275145,37681367,198641033,5120109,31296339,416422767,392660967,0,0,0,0
1001,21,10621504492,10609906052,11112575,80,402492,83263,30,2492773841,794836,116248955,232121397,603416616,505031030,200345687,658683681,176110648,239765785,4704441155,18871363,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92879803,3492668859,16319404,1,146885982,1211772296,2551959,1663460510,2350233689,99440819,195727707,37715533,198572271,5192441,31306610,440919977,383144897,0,0,0,0
1001,22,10621512422,10609882242,11144405,90,401962,83683,40,2491969258,749382,116247682,233602222,601807364,504673389,200892303,658524038,175444518,239810785,4704300555,18957406,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92892842,3492657622,16296954,1,146917943,1211642933,2660452,1670987559,2344385414,100827457,194319499,36125573,198631233,5132409,31302790,414443031,377390812,0,0,0,0
1001,23,10621510752,10609883432,11141115,40,402662,83473,30,2493034350,833756,116177716,234446700,601111252,504933484,200461813,658650342,176389785,239771812,4704470358,18825402,7,4,5,0,2,5858,1632,72,0,0,0,0,6,92887060,3492710282,16261653,1,146884752,1211760076,2563749,1695392029,2343950806,97161012,173767266,35881497,198571071,5191151,31301869,453950505,383274615,0,0,0,0
