step,rank,level,initialized,complete,attempts,successes,failures,apply_ns,reduction_ns,visits,pre_smooth_calls,pre_smooth_ns,residual_calls,residual_ns,restriction_calls,restriction_ns,prolongation_calls,prolongation_ns,post_smooth_calls,post_smooth_ns,terminal_calls,terminal_ns,direct_mpi_calls,direct_mpi_ns,halo_wait_ns,halo_control_ns,halo_control_calls,source_meta_sha256
10511,27,-1,1,1,158,158,0,1949384320,128738719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,27,0,1,1,0,0,0,0,0,158,158,451413794,0,0,158,171640871,158,47484133,158,223856382,0,0,0,0,124090021,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,27,1,1,1,0,0,0,0,0,316,316,62014849,0,0,316,51137997,316,15177326,316,54893163,0,0,632,4727038,58986108,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,27,2,1,1,0,0,0,0,0,474,474,77738912,0,0,474,23049332,474,6142434,474,13754494,0,0,1264,2213448,89141233,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,27,3,1,1,0,0,0,0,0,632,632,11944977,0,0,632,21156873,632,6488622,632,7129023,0,0,1896,1682512,30141197,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,27,4,1,1,0,0,0,0,0,790,790,36144143,0,0,790,3615164,790,10682942,790,10869062,0,0,2528,2130113,45359976,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,27,5,1,1,0,0,0,0,0,948,0,0,0,0,0,0,0,0,0,0,948,228046182,2528,140685416,8171026,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,27,-1,1,1,151,151,0,1969826385,141228719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,27,0,1,1,0,0,0,0,0,151,151,427976643,0,0,151,164877130,151,45784694,151,215096435,0,0,0,0,122659076,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,27,1,1,1,0,0,0,0,0,302,302,61467846,0,0,302,51220753,302,14799562,302,52287831,0,0,604,4813984,60896009,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,27,2,1,1,0,0,0,0,0,453,453,72430926,0,0,453,11865967,453,8374733,453,12927444,0,0,1208,2011753,72691805,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,27,3,1,1,0,0,0,0,0,604,604,30102665,0,0,604,33275911,604,5339659,604,6663142,0,0,1812,2752669,61930974,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,27,4,1,1,0,0,0,0,0,755,755,66297987,0,0,755,3770598,755,10755305,755,9875060,0,0,2416,1990876,74031152,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,27,5,1,1,0,0,0,0,0,906,0,0,0,0,0,0,0,0,0,0,906,246686972,2416,164954137,8405655,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,27,-1,1,1,155,155,0,1800216259,86122468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,27,0,1,1,0,0,0,0,0,155,155,440502126,0,0,155,169865793,155,46538211,155,219314547,0,0,0,0,116142794,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,27,1,1,1,0,0,0,0,0,310,310,56212966,0,0,310,50784640,310,15608963,310,54626471,0,0,620,4570298,54161466,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,27,2,1,1,0,0,0,0,0,465,465,77236014,0,0,465,12573131,465,6456260,465,12814180,0,0,1240,2198321,77664978,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,27,3,1,1,0,0,0,0,0,620,620,14577036,0,0,620,6847147,620,4342030,620,6873438,0,0,1860,2143341,18498888,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,27,4,1,1,0,0,0,0,0,775,775,21312235,0,0,775,3924170,775,10061260,775,7819190,0,0,2480,1697542,26383840,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,27,5,1,1,0,0,0,0,0,930,0,0,0,0,0,0,0,0,0,0,930,193974748,2480,110400105,7628170,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10514,27,-1,1,1,152,152,0,1748483835,88998392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10514,27,0,1,1,0,0,0,0,0,152,152,423809502,0,0,152,164399331,152,45990322,152,215282018,0,0,0,0,112228370,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10514,27,1,1,1,0,0,0,0,0,304,304,56279424,0,0,304,49562500,304,14654241,304,52293321,0,0,608,4626667,53307652,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10514,27,2,1,1,0,0,0,0,0,456,456,74784345,0,0,456,11926702,456,5703774,456,12793228,0,0,1216,1993152,74614601,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10514,27,3,1,1,0,0,0,0,0,608,608,12594977,0,0,608,7867744,608,4386784,608,6785169,0,0,1824,1577812,17412898,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10514,27,4,1,1,0,0,0,0,0,760,760,19305819,0,0,760,3448184,760,10262291,760,8545172,0,0,2432,1751698,24892840,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10514,27,5,1,1,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,912,181612230,2432,99024331,7948323,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10515,27,-1,1,1,161,161,0,1853432214,76576757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10515,27,0,1,1,0,0,0,0,0,161,161,456747980,0,0,161,175514043,161,48581372,161,228955120,0,0,0,0,122391733,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10515,27,1,1,1,0,0,0,0,0,322,322,59632851,0,0,322,52990625,322,15445893,322,55473315,0,0,644,4841440,57206221,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10515,27,2,1,1,0,0,0,0,0,483,483,78157701,0,0,483,12849168,483,5961298,483,13769346,0,0,1288,2120320,78561903,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10515,27,3,1,1,0,0,0,0,0,644,644,12800124,0,0,644,7078236,644,4778438,644,7508879,0,0,1932,1620197,16867349,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10515,27,4,1,1,0,0,0,0,0,805,805,26531060,0,0,805,3726494,805,10798635,805,8914422,0,0,2576,1757702,32269318,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10515,27,5,1,1,0,0,0,0,0,966,0,0,0,0,0,0,0,0,0,0,966,198384494,2576,111137452,8209569,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10516,27,-1,1,1,163,163,0,1895319469,84124383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10516,27,0,1,1,0,0,0,0,0,163,163,466218489,0,0,163,176198428,163,49310033,163,228713626,0,0,0,0,122831547,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10516,27,1,1,1,0,0,0,0,0,326,326,60921527,0,0,326,53429745,326,15859509,326,56588086,0,0,652,4701498,58589411,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
