step,time,station,x_over_d,u,v,w,included,exclusion
10511,0.14514547689080246,0,1.0600000000000001,-0.57925064998206721,-0.37301532605069032,0.15384819700900759,0,development
10511,0.14514547689080246,1,1.54,0.85388167393678971,3.0005829333423204,-0.016537443152582865,0,development
10511,0.14514547689080246,2,2.02,0.80203920018267005,2.0766847518488039,0.63521395573660155,0,development
10512,0.14515928580307444,0,1.0600000000000001,-0.57142295369345275,-0.37704142093064441,0.15522006928461682,0,development
10512,0.14515928580307444,1,1.54,0.85356696432281209,3.0031740185604585,-0.016547472795585209,0,development
10512,0.14515928580307444,2,2.02,0.80592241062396031,2.0790460255002619,0.63773016688562434,0,development
10513,0.14517309471534642,0,1.0600000000000001,-0.56378059948080872,-0.38104608286920288,0.1569968902177207,0,development
10513,0.14517309471534642,1,1.54,0.85304805359297586,3.0057466894753149,-0.01637516767690957,0,development
10513,0.14517309471534642,2,2.02,0.8098474164085121,2.0813641118421757,0.6402569691406339,0,development
10514,0.14518690362761841,0,1.0600000000000001,-0.55633355513682869,-0.38502445318349343,0.15920101032469644,0,development
10514,0.14518690362761841,1,1.54,0.8523126692214793,3.0082700910308509,-0.016007155910339216,0,development
10514,0.14518690362761841,2,2.02,0.81383467503802109,2.0836376703806594,0.6427974014404142,0,development
10515,0.14520071253989039,0,1.0600000000000001,-0.54910407432496422,-0.38899349724925247,0.16185663571078901,0,development
10515,0.14520071253989039,1,1.54,0.85138002833830972,3.0107160755337703,-0.01545385546569439,0,development
10515,0.14520071253989039,2,2.02,0.81790213015124646,2.0858605217943023,0.64535374824143055,0,development
10516,0.14521452145216238,0,1.0600000000000001,-0.54217750213607674,-0.39298057928280627,0.16497862773791747,0,development
10516,0.14521452145216238,1,1.54,0.85038364198599803,3.0130585107933858,-0.014749962652015575,0,development
10516,0.14521452145216238,2,2.02,0.82186644389879682,2.0880672849784618,0.64792341266041587,0,development
10517,0.14522833036443436,0,1.0600000000000001,-0.53553903560211424,-0.39696699818490289,0.16857484850967558,0,development
10517,0.14522833036443436,1,1.54,0.84932049908024254,3.0153254160367151,-0.013905283359670546,0,development
10517,0.14522833036443436,2,2.02,0.82593675672619848,2.0902326137691332,0.65050177601205572,0,development
10518,0.14524213927670634,0,1.0600000000000001,-0.5292068799347226,-0.40096445215127885,0.17266052424730771,0,development
10518,0.14524213927670634,1,1.54,0.84821084959997839,3.0175564907307511,-0.012919548880623355,0,development
10518,0.14524213927670634,2,2.02,0.83009513807529101,2.0922860987522527,0.65307839611597007,0,development
10519,0.14525594818897833,0,1.0600000000000001,-0.52320825068474963,-0.40499835083818997,0.1772436192808082,0,development
10519,0.14525594818897833,1,1.54,0.84697396847042117,3.019772619993653,-0.011806622908357352,0,development
10519,0.14525594818897833,2,2.02,0.83453876749412859,2.0941304793870832,0.65564288041130958,0,development
10520,0.14526975710125031,0,1.0600000000000001,-0.51753108608562814,-0.40915149418562796,0.18232758964083998,0,development
10520,0.14526975710125031,1,1.54,0.84562929216743654,3.0219199218264814,-0.010601406397927731,0,development
10520,0.14526975710125031,2,2.02,0.83905344442705432,2.0957905657457467,0.65818065228673228,0,development
10521,0.1452835660135223,0,1.0600000000000001,-0.51216600016149172,-0.41349468599771438,0.18792829090754398,0,development
10521,0.1452835660135223,1,1.54,0.8441377894303812,3.023933802263103,-0.0093133227297838139,0,development
10521,0.1452835660135223,2,2.02,0.84369580352005014,2.0973470229486089,0.66067984972704152,0,development
10522,0.14529737492579428,0,1.0600000000000001,-0.50714404926727086,-0.41804492152969003,0.1940386156519196,0,development
10522,0.14529737492579428,1,1.54,0.84252727244614978,3.0258166539510971,-0.0079492821537173637,0,development
10522,0.14529737492579428,2,2.02,0.84852890018848104,2.0988320035028187,0.66312274875070498,0,development
10523,0.145311
