step,rank,level,initialized,complete,attempts,successes,failures,apply_ns,reduction_ns,visits,pre_smooth_calls,pre_smooth_ns,residual_calls,residual_ns,restriction_calls,restriction_ns,prolongation_calls,prolongation_ns,post_smooth_calls,post_smooth_ns,terminal_calls,terminal_ns,direct_mpi_calls,direct_mpi_ns,halo_wait_ns,halo_control_ns,halo_control_calls,source_meta_sha256
10511,121,-1,1,1,158,158,0,1943497236,125227216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,121,0,1,1,0,0,0,0,0,158,158,448549004,0,0,158,173723692,158,49636622,158,227516234,0,0,0,0,133567554,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,121,1,1,1,0,0,0,0,0,316,316,64363618,0,0,316,67978450,316,15576178,316,53179521,0,0,632,5862694,77697894,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,121,2,1,1,0,0,0,0,0,474,474,57277366,0,0,474,18073117,474,7630547,474,13349518,0,0,1264,2222767,65531401,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,121,3,1,1,0,0,0,0,0,632,632,38555581,0,0,632,59967568,632,5996927,632,7460869,0,0,1896,1950603,99480629,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,121,4,1,1,0,0,0,0,0,790,790,19261821,0,0,790,6960130,790,11918886,790,10594165,0,0,2528,2392558,32626186,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,121,5,1,1,0,0,0,0,0,948,0,0,0,0,0,0,0,0,0,0,948,184042661,2528,97827233,9429147,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,121,-1,1,1,151,151,0,1965892155,153099842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,121,0,1,1,0,0,0,0,0,151,151,427654477,0,0,151,162322297,151,47441910,151,202722751,0,0,0,0,103475206,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,121,1,1,1,0,0,0,0,0,302,302,82298027,0,0,302,76807069,302,15198185,302,48247061,0,0,604,5555356,106661161,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,121,2,1,1,0,0,0,0,0,453,453,71727080,0,0,453,19335583,453,7871450,453,13651063,0,0,1208,1998493,82848252,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
