step,rank,level,initialized,complete,attempts,successes,failures,apply_ns,reduction_ns,visits,pre_smooth_calls,pre_smooth_ns,residual_calls,residual_ns,restriction_calls,restriction_ns,prolongation_calls,prolongation_ns,post_smooth_calls,post_smooth_ns,terminal_calls,terminal_ns,direct_mpi_calls,direct_mpi_ns,halo_wait_ns,halo_control_ns,halo_control_calls,source_meta_sha256
10511,42,-1,1,1,158,158,0,1943294405,118996826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,42,0,1,1,0,0,0,0,0,158,158,461575116,0,0,158,176753246,158,51849155,158,221690976,0,0,0,0,135175708,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,42,1,1,1,0,0,0,0,0,316,316,63126546,0,0,316,46742894,316,15792305,316,58526116,0,0,632,6947660,56325342,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,42,2,1,1,0,0,0,0,0,474,474,33149555,0,0,474,58382031,474,7098376,474,14202889,0,0,1264,2440437,78396043,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,42,3,1,1,0,0,0,0,0,632,632,42395086,0,0,632,15148853,632,5200698,632,8375958,0,0,1896,2206423,55870792,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,42,4,1,1,0,0,0,0,0,790,790,8174585,0,0,790,3398127,790,13734720,790,11351486,0,0,2528,2080814,15978311,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,42,5,1,1,0,0,0,0,0,948,0,0,0,0,0,0,0,0,0,0,948,225189558,2528,137886110,10771269,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,42,-1,1,1,151,151,0,1966587150,132374124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,42,0,1,1,0,0,0,0,0,151,151,438601316,0,0,151,169865575,151,48890192,151,216599837,0,0,0,0,131977256,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,42,1,1,1,0,0,0,0,0,302,302,64812768,0,0,302,45348098,302,15675296,302,53944449,0,0,604,6004704,57911030,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,42,2,1,1,0,0,0,0,0,453,453,30970748,0,0,453,65910363,453,7840380,453,13735070,0,0,1208,2475414,84547727,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,42,3,1,1,0,0,0,0,0,604,604,69520548,0,0,604,30234950,604,4995954,604,8958767,0,0,1812,3204830,99211690,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,42,4,1,1,0,0,0,0,0,755,755,8168276,0,0,755,31959069,755,27393943,755,10942795,0,0,2416,1940726,44418090,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,42,5,1,1,0,0,0,0,0,906,0,0,0,0,0,0,0,0,0,0,906,199683313,2416,118255165,24358216,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,42,-1,1,1,155,155,0,1793979382,75898414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,42,0,1,1,0,0,0,0,0,155,155,452069799,0,0,155,173397191,155,49950829,155,218418629,0,0,0,0,131754634,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,42,1,1,1,0,0,0,0,0,310,310,60752232,0,0,310,46330224,310,15732511,310,56470905,0,0,620,5908709,54374114,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,42,2,1,1,0,0,0,0,0,465,465,31619970,0,0,465,51039873,465,6882455,465,14652141,0,0,1240,2471006,70546398,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,42,3,1,1,0,0,0,0,0,620,620,12956803,0,0,620,16170230,620,4804190,620,7536311,0,0,1860,2380552,26618475,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,42,4,1,1,0,0,0,0,0,775,775,9005490,0,0,775,4375359,775,10352270,775,8881003,0,0,2480,1903421,15638318,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,42,5,1,1,0,0,0,0,0,930,0,0,0,0,0,0,0,0,0,0,930,190159158,2480,106636647,7490193,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10514,42,-1,1,1,152,152,0,1743742093,77917510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10514,42,0,1,1,0,0,0,0,0,152,152,434629700,0,0,152,167839197,152,49587766,152,213562759,0,0,0,0,129177302,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10514,42,1,1,1,0,0,0,0,0,304,304,58308856,0,0,304,44677700,304,15089929,304,54677627,0,0,608,6285858,50187548,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10514,42,2,1,1,0,0,0,0,0,456,456,29528670,0,0,456,50629042,456,6217683,456,13668921,0,0,1216,2397132,67550364,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10514,42,3,1,1,0,0,0,0,0,608,608,12400757,0,0,608,14873795,608,4826973,608,7445299,0,0,1824,1854592,24602520,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10514,42,4,1,1,0,0,0,0,0,760,760,7884602,0,0,760,3250018,760,9426124,760,9612025,0,0,2432,1958402,13863362,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10514,42,5,1,1,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,912,180248836,2432,97777197,6617091,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10515,42,-1,1,1,161,161,0,1846957310,66868372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10515,42,0,1,1,0,0,0,0,0,161,161,471159880,0,0,161,178220994,161,51644360,161,225186425,0,0,0,0,139872554,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10515,42,1,1,1,0,0,0,0,0,322,322,62330397,0,0,322,46842800,322,16243977,322,57879394,0,0,644,6243355,53692336,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10515,42,2,1,1,0,0,0,0,0,483,483,32747643,0,0,483,50831340,483,7011183,483,14330719,0,0,1288,2617795,70020548,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10515,42,3,1,1,0,0,0,0,0,644,644,12584204,0,0,644,21410845,644,5310956,644,7885690,0,0,1932,2004428,31847061,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10515,42,4,1,1,0,0,0,0,0,805,805,8536334,0,0,805,3395604,805,10903121,805,10084910,0,0,2576,2039014,15270084,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10515,42,5,1,1,0,0,0,0,0,966,0,0,0,0,0,0,0,0,0,0,966,195996100,2576,108614984,7941574,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10516,42,-1,1,1,163,163,0,1888554529,73994678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10516,42,0,1,1,0,0,0,0,0,163,163,478168546,0,0,163,182125563,163,53123732,163,226529009,0,0,0,0,137634867,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10516,42,1,1,1,0,0,0,0,0,326,326,61622988,0,0,326,48252162,326,16504310,326,58838548,0,0,652,6525645,53353580,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10516,42,2,1,1,0,0,0,0,0,489,489,35360202,0,0,489,50182002,489,6943718,489,15086612,0,0,1304,2605202,72553039,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10516,42,3,1,1,0,0,0,0,0,652,652,27416492,0,0,652,15673838,652,5339512,652,8013361,0,0,1956,2083531,40200625,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10516,42,4,1,1,0,0,0,0,0,815,815,9388597,0,0,815,3202661,815,10441875,815,10488111,0,0,2608,2377590,15950453,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10516,42,5,1,1,0,0,0,0,0,978,0,0,0,0,0,0,0,0,0,0,978,200260605,2608,111261426,7399096,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10517,42,-1,1,1,166,166,0,1931715483,71888243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10517,42,0,1,1,0,0,0,0,0,166,166,488401695,0,0,166,184462101,166,54237621,166,230894806,0,0,0,0,142018355,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10517,42,1,1,1,0,0,0,0,0,332,332,63657717,0,0,332,48749325,332,16579675,332,60067419,0,0,664,6581775,55464843,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10517,42,2,1,1,0,0,0,0,0,498,498,34716955,0,0,498,51815202,498,9137030,498,14878142,0,0,1328,2564936,72561488,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10517,42,3,1,1,0,0,0,0,0,664,664,13415586,0,0,664,16077520,664,5305717,664,8214257,0,0,1992,3391189,27334551,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10517,42,4,1,1,0,0,0,0,0,830,830,8319491,0,0,830,6048620,830,11798335,830,9982270,0,0,2656,2091839,17232854,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10517,42,5,1,1,0,0,0,0,0,996,0,0,0,0,0,0,0,0,0,0,996,222385620,2656,131998187,8204814,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10518,42,-1,1,1,152,152,0,1731235580,63260207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10518,42,0,1,1,0,0,0,0,0,152,152,438371531,0,0,152,171121657,152,49417433,152,211152181,0,0,0,0,133525824,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10518,42,1,1,1,0,0,0,0,0,304,304,59689451,0,0,304,44372504,304,15486708,304,54216937,0,0,608,5899436,51639879,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10518,42,2,1,1,0,0,0,0,0,456,456,29326660,0,0,456,46044369,456,6457864,456,14361579,0,0,1216,2348596,62811280,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10518,42,3,1,1,0,0,0,0,0,608,608,11172301,0,0,608,14199774,608,4736383,608,7506304,0,0,1824,2088157,22856097,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10518,42,4,1,1,0,0,0,0,0,760,760,7633697,0,0,760,3090133,760,9432024,760,9582165,0,0,2432,1901875,13576249,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10518,42,5,1,1,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,912,186126171,2432,101613738,6610286,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10519,42,-1,1,1,122,122,0,1410705274,56360307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
