step,rank,level,initialized,complete,attempts,successes,failures,apply_ns,reduction_ns,visits,pre_smooth_calls,pre_smooth_ns,residual_calls,residual_ns,restriction_calls,restriction_ns,prolongation_calls,prolongation_ns,post_smooth_calls,post_smooth_ns,terminal_calls,terminal_ns,direct_mpi_calls,direct_mpi_ns,halo_wait_ns,halo_control_ns,halo_control_calls,source_meta_sha256
10511,53,-1,1,1,158,158,0,1943512596,61411360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,53,0,1,1,0,0,0,0,0,158,158,481725414,0,0,158,179018486,158,72877367,158,250466844,0,0,0,0,155016312,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,53,1,1,1,0,0,0,0,0,316,316,94610205,0,0,316,50792512,316,17885035,316,61855890,0,0,632,24794178,89418935,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,53,2,1,1,0,0,0,0,0,474,474,29197051,0,0,474,9718927,474,7559455,474,15019526,0,0,1264,3372119,25838582,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,53,3,1,1,0,0,0,0,0,632,632,43851859,0,0,632,37383502,632,7777986,632,8582025,0,0,1896,2782826,79293967,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,53,4,1,1,0,0,0,0,0,790,790,18063403,0,0,790,4635152,790,11490126,790,10373218,0,0,2528,4065880,26023099,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,53,5,1,1,0,0,0,0,0,948,0,0,0,0,0,0,0,0,0,0,948,183572378,2528,96091036,8599419,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,53,-1,1,1,151,151,0,1965683540,89925345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,53,0,1,1,0,0,0,0,0,151,151,457508710,0,0,151,194150125,151,52464774,151,240657970,0,0,0,0,176837137,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,53,1,1,1,0,0,0,0,0,302,302,103540098,0,0,302,64186566,302,17558708,302,58444769,0,0,604,7050529,114079430,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,53,2,1,1,0,0,0,0,0,453,453,27844506,0,0,453,38446453,453,8082541,453,15674589,0,0,1208,3554809,55561661,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,53,3,1,1,0,0,0,0,0,604,604,25994850,0,0,604,37807604,604,5904092,604,8286714,0,0,1812,3100916,62542742,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,53,4,1,1,0,0,0,0,0,755,755,8305782,0,0,755,4409171,755,11671348,755,28586491,0,0,2416,2386735,34390970,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,53,5,1,1,0,0,0,0,0,906,0,0,0,0,0,0,0,0,0,0,906,187821054,2416,106008340,8768108,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,53,-1,1,1,155,155,0,1793608138,33424354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,53,0,1,1,0,0,0,0,0,155,155,473921944,0,0,155,176371953,155,56603128,155,245247143,0,0,0,0,148714897,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,53,1,1,1,0,0,0,0,0,310,310,60508139,0,0,310,49648563,310,18061140,310,60069396,0,0,620,9069904,54113351,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,53,2,1,1,0,0,0,0,0,465,465,32714973,0,0,465,10867017,465,7629996,465,15295553,0,0,1240,3871476,30250217,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,53,3,1,1,0,0,0,0,0,620,620,28680557,0,0,620,37528093,620,7584164,620,7409663,0,0,1860,2814313,63457525,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,53,4,1,1,0,0,0,0,0,775,775,8636628,0,0,775,4880201,775,11320159,775,9112011,0,0,2480,2539145,17155378,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,53,5,1,1,0,0,0,0,0,930,0,0,0,0,0,0,0,0,0,0,930,158219895,2480,73923404,8596681,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10514,53,-1,1,1,152,152,0,1744224507,35024292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10514,53,0,1,1,0,0,0,0,0,152,152,452271314,0,0,152,173745169,152,53519293,152,244003759,0,0,0,0,151143120,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10514,53,1,1,1,0,0,0,0,0,304,304,60389210,0,0,304,47699171,304,17416537,304,58361175,0,0,608,7348873,53854085,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10514,53,2,1,1,0,0,0,0,0,456,456,29123889,0,0,456,9001436,456,7567732,456,14764369,0,0,1216,3242031,25352347,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10514,53,3,1,1,0,0,0,0,0,608,608,25669297,0,0,608,35447682,608,5766059,608,7468275,0,0,1824,2706906,58916620,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10514,53,4,1,1,0,0,0,0,0,760,760,7089484,0,0,760,4536062,760,10964428,760,9108965,0,0,2432,2438858,13535203,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10514,53,5,1,1,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,912,155728446,2432,72300386,8283986,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10515,53,-1,1,1,161,161,0,1848777227,24314152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
