step,rank,level,initialized,complete,attempts,successes,failures,apply_ns,reduction_ns,visits,pre_smooth_calls,pre_smooth_ns,residual_calls,residual_ns,restriction_calls,restriction_ns,prolongation_calls,prolongation_ns,post_smooth_calls,post_smooth_ns,terminal_calls,terminal_ns,direct_mpi_calls,direct_mpi_ns,halo_wait_ns,halo_control_ns,halo_control_calls,source_meta_sha256
10511,112,-1,1,1,158,158,0,1948126507,134627631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,112,0,1,1,0,0,0,0,0,158,158,443730102,0,0,158,300267607,158,49585454,158,204254508,0,0,0,0,128299432,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,112,1,1,1,0,0,0,0,0,316,316,38548456,0,0,316,48709718,316,16326410,316,52675537,0,0,632,6991814,27337701,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,112,2,1,1,0,0,0,0,0,474,474,49305546,0,0,474,12361995,474,6618397,474,14008419,0,0,1264,2703726,51249953,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,112,3,1,1,0,0,0,0,0,632,632,9922244,0,0,632,5067261,632,4875683,632,7722613,0,0,1896,1769365,14809363,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,112,4,1,1,0,0,0,0,0,790,790,25219535,0,0,790,10950452,790,8486880,790,7961358,0,0,2528,1825062,39178227,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,112,5,1,1,0,0,0,0,0,948,0,0,0,0,0,0,0,0,0,0,948,203140258,2528,110346880,5905843,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,112,-1,1,1,151,151,0,1969566369,157688758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,112,0,1,1,0,0,0,0,0,151,151,420193010,0,0,151,286234796,151,46546327,151,203178397,0,0,0,0,116662436,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,112,1,1,1,0,0,0,0,0,302,302,40251375,0,0,302,67331749,302,15807525,302,51026925,0,0,604,5853290,51266012,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,112,2,1,1,0,0,0,0,0,453,453,59438019,0,0,453,27616799,453,6381821,453,12365678,0,0,1208,2395236,75780616,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,112,3,1,1,0,0,0,0,0,604,604,9143912,0,0,604,32826877,604,4353270,604,25464135,0,0,1812,1867455,59889503,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,112,4,1,1,0,0,0,0,0,755,755,8409674,0,0,755,12850090,755,24052290,755,9391259,0,0,2416,1571082,25850542,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,112,5,1,1,0,0,0,0,0,906,0,0,0,0,0,0,0,0,0,0,906,183773089,2416,95758596,21285372,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,112,-1,1,1,155,155,0,1799665879,103659191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,112,0,1,1,0,0,0,0,0,155,155,440231672,0,0,155,293443005,155,48092332,155,202299618,0,0,0,0,121618151,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,112,1,1,1,0,0,0,0,0,310,310,37019532,0,0,310,46409731,310,16017773,310,52491699,0,0,620,6442414,25732943,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,112,2,1,1,0,0,0,0,0,465,465,19543171,0,0,465,12990475,465,6420308,465,12554524,0,0,1240,2666068,21345467,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,112,3,1,1,0,0,0,0,0,620,620,10822060,0,0,620,6711869,620,6007241,620,6971669,0,0,1860,1894346,16805131,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,112,4,1,1,0,0,0,0,0,775,775,11117426,0,0,775,9998320,775,6618936,775,8647912,0,0,2480,3186001,24837149,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,112,5,1,1,0,0,0,0,0,930,0,0,0,0,0,0,0,0,0,0,930,167389523,2480,81129953,4163750,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
