step,time,bdf_order,epoch_start_step,final_flux_revision,mass_kg,internal_energy_J,kinetic_energy_J,momentum_x_linf_N,momentum_y_linf_N,momentum_z_linf_N,momentum_x_l1_N,momentum_y_l1_N,momentum_z_l1_N,continuity_signed_kg_s,energy_signed_W,energy_l1_W,total_equation_defect_W,mass_outflow_kg_s,enthalpy_outflow_W,kinetic_energy_outflow_W,conductive_heat_input_W,viscous_work_input_W,mass_bdf_rate_kg_s,total_energy_bdf_rate_W,mass_balance_defect_kg_s,total_energy_balance_defect_W,cumulative_mass_defect_kg,cumulative_energy_defect_J,normalization_valid,U_rms_m_s,momentum_x_normalized,momentum_y_normalized,momentum_z_normalized,worst_x_gid,worst_x_rank,worst_y_gid,worst_y_rank,worst_z_gid,worst_z_rank,ibm_adjacent_cells,interior_cells,ibm_x_linf,ibm_y_linf,ibm_z_linf,interior_x_linf,interior_y_linf,interior_z_linf,ibm_x_rms,ibm_y_rms,ibm_z_rms,interior_x_rms,interior_y_rms,interior_z_rms
10511,0.14514547689080246,2,10510,3513,0.0031022751264652344,-184.02020300548165,0.013960018364628892,6.3794757314119992e-07,5.2237996587307394e-07,1.6950139916775619e-07,0.0031198878964934121,0.002396892287816226,0.0017788116297967464,7.6290845595545115e-14,4.121349021069392e-06,0.031304392829120925,0.0014184878655738387,-7.3987770776570849e-07,-0.030160131492459392,0.00047501542704863177,3.4580957276420212e-05,-1.5869308747251381e-07,7.3987773593214845e-07,0.029121486511030525,2.8166439958122926e-14,-0.00059805181856918341,2.5940384009662948e-19,-5.5056300629630073e-09,1,2.9999763930964498,0.012220552894198483,0.0094957992842539668,0.0032469852151161809,3569199,67,4378800,74,3327718,73,6500,5987852,0.012220552894198483,0.008424941186198508,0.00088070556443814441,0.011208736990425907,0.0094957992842539668,0.0032469852151161809,0.00033091526615502823,0.00021928562560845729,4.2115453140714024e-05,5.7185743800857551e-05,4.4886580687536965e-05,2.7319377671373027e-05
10512,0.14515928580307444,2,10510,3514,0.0031022751365407564,-184.0202026071712,0.013960018235925393,1.0571733361649657e-06,5.1999921606267018e-07,1.835824279186346e-07,0.0031194668419148924,0.0023873176764851187,0.001776985505010229,4.1298294594929312e-14,4.8877601360521411e-06,0.03251335541626512,0.0014134485826240682,-7.1853190996737177e-07,-0.029587437861403172,0.00047579694252087917,3.3833217814081543e-05,-1.5909228844968875e-07,7.1853200009353024e-07,0.028536138417166512,9.0126158472429675e-14,-0.00060917662724141106,1.1752582143153417e-18,-1.2948884478558575e-08,1,2.9999763743957653,0.020251112702470531,0.0099611634999313692,0.0035167102907858157,1701881,67,4037971,67,4261607,73,6500,5987852,0.020251112702470531,0.0066031776310852301,0.0019802507718737782,0.009429042031518205,0.0099611634999313692,0.0035167102907858157,0.00042869715439911818,0.00018574252996982215,4.8507090821430835e-05,5.7339717920987661e-05,4.4509935701238947e-05,2.7353347466961678e-05
10513,0.14517309471534642,2,10510,3515,0.0031022751462242881,-184.020202219357,0.013960017875049965,5.5469868494954506e-07,3.9213070822174526e-07,2.2865053567262892e-07,0.0030994064889318948,0.002393228955761776,0.0017771026763250541,2.040881957363908e-14,4.3703427791781757e-06,0.027029293099853621,0.0014125412121828882,-6.8705896415515448e-07,-0.028738092712580925,0.0004767213858500605,3.2782559776820002e-05,-1.5952385374062643e-07,6.8705893974119192e-07,0.027669745191360562,-2.4413962558437563e-14,-0.00062424917129338259,1.2555145860676867e-18,-2.1176770656494703e-08,1,2.9999763309380016,0.010625920730095415,0.0075121108358856296,0.0043800180474922335,2500341,51,4379710,73,4261607,73,6500,5987852,0.010625920730095415,0.0058859219162356018,0.0023411106946816087,0.0086118272796471846,0.0075121108358856296,0.0043800180474922335,0.00026441642499620171,0.00017470497893378993,5.401659739459538e-05,5.6437071531912984e-05,4.4803388752593476e-05,2.7439622949488295e-05
10514,0.14518690362761841,2,10510,3516,0.0031022751553031456,-184.02020184818309,0.013960017642088898,8.7576112767924182e-07,5.2858704121640443e-07,1.7780764169499508e-07,0.0030840915544148358,0.0023880297915241568,0.0017809523235907164,1.5687793276238974e-13,5.7289903904287983e-06,0.033267716401076175,0.0014042803029313019,-6.3556908849793848e-07,-0.027344252516304696,0.00047791758002781962,3.1421975436666684e-05,-1.5995947354890067e-07,6.3556927122621065e-07,0.026264545255799021,1.8272827217671482e-13,-0.00063305169644097339,2.964191798916424e-18,-2.9747236285349032e-08,1,2.9999763015168583,0.016776063843776379,0.010125547341302181,0.0034061125940783193,1117743,67,5418282,51,5088595,67,6500,5987852,0.016776063843776379,0.0041117438630192162,0.00094118945142829301,0.010907939797691394,0.010125547341302181,0.0034061125940783193,0.00031535791201611752,0.00014674168481414529,3.5661845594998932e-05,5.6264976621020398e-05,4.4959088008677658e-05,2.760892232939012e-05
10515,0.14520071253989039,2,10510,3517,0.0031022751634904159,-184.02020150184705,0.013960017871794544,1.1131025067953078e-06,9.0656937486368054e-07,2.4417096196507269e-07,0.0030718558728841726,0.0023930066060260553,0.0017848406815850391,1.4460235615570015e-13,4.6679665335992255e-06,0.02571699729478532,0.0013876694557877055,-5.6061438695305973e-07,-0.02531362592134,0.00047943429040704384,2.9738853220580335e-05,-1.603760751635734e-07,5.6061452037570181e-07,0.02421465477300444,1.3342264207692842e-13,-0.0006491153350739326,4.7624427459373037e-18,-3.8579775957225948e-08,1,2.9999763222398252,0.021322247855294969,0.017366230357028552,0.0046773355570502492,6021113,67,5419194,51,5419194,51,6500,5987852,0.021322247855294969,0.017366230357028552,0.0046773355570502492,0.011966583490989195,0.015040963221817983,0.0029948597417729945,0.00049120732486604337,0.00030078575861709376,7.2133360803338915e-05,5.559928744324389e-05,4.5438803006303352e-05,2.7631831860781505e-05
10516,0.14521452145216238,2,10510,3518,0.0031022751705288842,-184.02020118736087,0.013960059524714033,2.1778372301384563e-06,8.9927424640693557e-07,2.3293885943247084e-07,0.029782096065072421,0.0021055992327138583,0.0016626431630707597,1.8481929534274547e-13,8.1385431282372516e-07,0.027282114500681444,0.0054859520159105443,-4.6810817147271459e-07,-0.022808136396567133,0.0004812039126549511,2.7720317878383228e-05,-1.6103887809546831e-07,4.6810836498017983e-07,0.026137174681934994,1.9350746523270727e-13,0.0037826829190225238,7.1430288441955148e-18,-6.7007981247035886e-09,1,2.9999807943924739,0.041718766801425729,0.017226399085041505,0.0044621730719054736,5905746,67,5419194,51,3921234,67,6500,5987852,0.02512564266526153,0.017226399085041505,0.0040778553899675817,0.041718766801425729,0.014756726480425619,0.0044621730719054736,0.001348886278739798,0.00027948802731058776,6.6593785553279602e-05,0.00037251667229199744,3.9785997618864572e-05,2.5327150247587632e-05
10517,0.14522833036443436,2,10510,3519,0.0031022751762881597,-184.02020090863988,0.013960111667344476,2.7642940477741111e-06,6.9834873003051828e-07,4.0532532128015187e-07,0.029355892715288701,0.0020920847268782157,0.0016504257496211424,1.7631685563475398e-13,6.4291984334496486e-07,0.026880436976361784,0.0053801385838139577,-3.7075164184419616e-07,-0.020173235355548179,0.00048307074819524051,2.5389166109156564e-05,-1.6175256158460827e-07,3.7075179314116635e-07,0.023044954762099223,1.5129697019317979e-13,0.0033295627411987147,9.3298561557693047e-18,3.457728767197743e-08,1,2.9999863942609655,0.052951872435172694,0.013377442232030478,0.0077643812538684435,4378799,73,5419194,51,5204877,67,6500,5987852,0.02713266720829343,0.013377442232030478,0.0077643812538684435,0.052951872435172694,0.010581628082729616,0.0048056676161837373,0.0013194004221390766,0.00026254737294801391,0.00011564141693705522,0.00036996015764352515,3.9386884219472115e-05,2.5070869085011614e-05
10518,0.14524213927670634,2,10510,3520,0.00310227518081978,-184.02020066464286,0.013960167454374129,2.6302396585289665e-06,4.6160795657753672e-07,3.2641652023228455e-07,0.029363141908141335,0.0020914211671616452,0.0016515088962776802,1.6542200849143536e-13,8.727522534808219e-07,0.025830116089234172,0.0054395585721937548,-2.8371462166605199e-07,-0.017820589897340533,0.00048484596073137317,2.277148185911501e-05,-1.6243481736345756e-07,2.8371479680877609e-07,0.020584120059538691,1.7514272409823698e-13,0.0032257670758877796,1.1671266980217004e-17,7.8032872635747097e-08,1,2.9999923862970812,0.04781141823398527,0.0088424403323791607,0.0062527811764586331,4378344,74,5419194,51,5204877,67,6500,5987852,0.020980594219215956,0.0088424403323791607,0.0062527811764586331,0.04781141823398527,0.0076518016499587593,0.0033401221315856413,0.0012663170467014696,0.00023268736685375799,9.9468716874897677e-05,0.00037139363927682405,3.9399669186258747e-05,2.513517187248624e-05
10519,0.14525594818897833,2,10510,3521,0.0031022751843541021,-184.02020045019913,0.013960185189264484,1.2400736751908517e-06,4.0077878276188416e-07,1.6227066304867838e-07,0.0031009009768624089,0.0023836930532590466,0.0017719616175830288,5.2029703474266534e-13,-6.3366540479165207e-06,0.035565845645141508,0.0014019908814190945,-2.1983383274969172e-07,-0.016096870160514122,0.00048635096936848346,1.992903228809189e-05,-1.6305618010039325e-07,2.1983433588085299e-07,0.014365787593760615,5.0313116127662165e-13,-0.0012644975734930168,1.708359575493517e-17,8.0877176900084891e-08,1,2.999994290171311,0.023754349802310407,0.0076774158555613916,0.003108414919233281,3318855,51,186141,67,5204877,67,6500,5987852,0.023754349802310407,0.0052825652251325293,0.003108414919233281,0.016624912465329364,0.0076774158555613916,0.0027015692420027447,0.00051008646976253419,0.00020864827976226788,6.3089803138235406e-05,5.7762143493431384e-05,4.4882924769684625e-05,2.7108612022747479e-05
10520,0.14526975710125031,2,10510,3522,0.003102275187208783,-184.02020025666781,0.013960195095243502,7.6586730419493302e-07,5.6555671162479535e-07,1.9179252703414179e-07,0.0031238875951809511,0.0023933902311282793,0.0017772753069167022,-9.970844897380783e-15,4.42356371624858e-06,0.024361721318021088,0.0014231032540668637,-1.8211866720749631e-07,-0.015083416502534764,0.00048754132832977545,1.6951894111469786e-05,-1.6371110024650151e-07,1.8211863703904152e-07,0.013691639875560213,-3.0168454792061636e-14,-0.00092102348165599979,1.8610160884124233e-17,7.3346390017103857e-08,1,2.9999953531707209,0.014670992521508844,0.010833846360542106,0.0036739233133071805,2267322,51,3912311,73,2170196,67,6500,5987852,0.014670992521508844,0.0053083722445810486,0.0016991586324291868,0.0090921548941418281,0.010833846360542106,0.0036739233133071805,0.00038715952524296797,0.00017457553857380133,4.2517707742306519e-05,5.685751731658253e-05,4.5232960574184237e-05,2.7444040969571767e-05
