step,rank,level,initialized,complete,attempts,successes,failures,apply_ns,reduction_ns,visits,pre_smooth_calls,pre_smooth_ns,residual_calls,residual_ns,restriction_calls,restriction_ns,prolongation_calls,prolongation_ns,post_smooth_calls,post_smooth_ns,terminal_calls,terminal_ns,direct_mpi_calls,direct_mpi_ns,halo_wait_ns,halo_control_ns,halo_control_calls,source_meta_sha256
10511,30,-1,1,1,158,158,0,1943717276,123688349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,30,0,1,1,0,0,0,0,0,158,158,456167900,0,0,158,174523765,158,47661212,158,221797829,0,0,0,0,125664288,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,30,1,1,1,0,0,0,0,0,316,316,125277353,0,0,316,44281432,316,15189968,316,54798637,0,0,632,4398959,115544481,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,30,2,1,1,0,0,0,0,0,474,474,18973418,0,0,474,13290581,474,6320188,474,12994581,0,0,1264,2155447,17714565,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,30,3,1,1,0,0,0,0,0,632,632,20370249,0,0,632,4291574,632,4494751,632,8051045,0,0,1896,1820017,22080627,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,30,4,1,1,0,0,0,0,0,790,790,8235895,0,0,790,19453745,790,16545131,790,8061104,0,0,2528,1660560,28927450,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,30,5,1,1,0,0,0,0,0,948,0,0,0,0,0,0,0,0,0,0,948,255740106,2528,168682533,13925197,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,30,-1,1,1,151,151,0,1967382353,137051679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,30,0,1,1,0,0,0,0,0,151,151,436828347,0,0,151,168019320,151,45147778,151,213057186,0,0,0,0,128613228,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,30,1,1,1,0,0,0,0,0,302,302,117753491,0,0,302,42851684,302,14496029,302,52355618,0,0,604,4568389,109143928,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,30,2,1,1,0,0,0,0,0,453,453,20063520,0,0,453,13187775,453,5991944,453,12455310,0,0,1208,1890903,19575632,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,30,3,1,1,0,0,0,0,0,604,604,9462781,0,0,604,4032051,604,5879815,604,7868499,0,0,1812,1733244,11442208,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,30,4,1,1,0,0,0,0,0,755,755,26834256,0,0,755,31420304,755,29715950,755,9526623,0,0,2416,3140350,61392417,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,30,5,1,1,0,0,0,0,0,906,0,0,0,0,0,0,0,0,0,0,906,289448416,2416,207950225,27134268,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,30,-1,1,1,155,155,0,1796138982,81349791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,30,0,1,1,0,0,0,0,0,155,155,452623412,0,0,155,168977934,155,46504923,155,215883402,0,0,0,0,118518644,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,30,1,1,1,0,0,0,0,0,310,310,119265998,0,0,310,41533751,310,15169211,310,53934127,0,0,620,4356952,107245160,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,30,2,1,1,0,0,0,0,0,465,465,18252699,0,0,465,12892133,465,6048147,465,12608648,0,0,1240,2192740,16546333,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,30,3,1,1,0,0,0,0,0,620,620,10943465,0,0,620,4542555,620,4262607,620,7085199,0,0,1860,1834749,12076242,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
