step,rank,attempt,scalar_coupling_sweep,dt,attempt_status,corrector,refinement,kind,invoked,iterations,A_calls,M_calls,linear_initial,linear_final,linear_criterion_valid,linear_rhs_norm,linear_atol,linear_rtol,linear_residual_limit,prepare_ns,solve_ns,close_ns,A_ns,M_ns,dot_ns,reduce_ns,update_ns,mg_refill_ns,mg_copy_ns,structured_wait_ns,structured_control_ns,globalization_valid,baseline_candidates,extrapolated_candidates,ladder_candidates,incomplete_candidates,candidate_ns,baseline_continuity,baseline_energy,selected_continuity,selected_energy,selected_alpha,dropped_loops,mg_enabled,mg_complete,mg_attempts,mg_successes,mg_failures,mg_apply_ns,mg_reduction_ns,mg_halo_wait_ns,mg_halo_control_ns,mg_halo_control_calls,mg_pre_smooth_calls,mg_pre_smooth_ns,mg_residual_calls,mg_residual_ns,mg_restriction_calls,mg_restriction_ns,mg_prolongation_calls,mg_prolongation_ns,mg_post_smooth_calls,mg_post_smooth_ns,mg_terminal_calls,mg_terminal_ns,mg_direct_mpi_calls,mg_direct_mpi_ns,mg_finest_pre_smooth_ns,mg_finest_post_smooth_ns,fgmres_available,fgmres_norm_restarts,fgmres_unsafe_norms,fgmres_discarded_columns,fgmres_explicit_reorthogonalizations,fgmres_unsafe_restarts,fgmres_happy_restarts,fgmres_length_restarts,fgmres_initial_residual_applies,fgmres_arnoldi_applies,fgmres_unsafe_residual_applies,fgmres_interior_residual_applies,fgmres_cycle_residual_applies,source_meta_sha256
10511,94,1,1,1.3808912271980337e-05,0,1,0,2,1,27,39,27,0.13515187240323825,9.0361531319228063e-06,1,0.13515187240323825,1e-08,0.0001,1.3515187240323827e-05,122124483,1253183839,2827925,702928432,314265852,12285437,128307016,5427516,89185,0,75651107,4452977,1,1,0,1,0,324657710,0.00032939570572548777,8.7393518257814574e-05,2.2391086320965667e-07,3.384227121261353e-07,1,0,1,1,27,27,0,314157335,9946429,56696930,0,0,405,104626262,0,0,405,41090475,405,15671444,405,58375205,162,32733355,1512,21122802,77848744,41628620,1,8,8,8,0,8,0,0,1,27,8,3,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,94,1,1,1.3808912271980337e-05,0,2,0,1,1,19,29,19,0.2620413490470081,1.4763014894235304e-05,1,0.16396622043571249,1e-08,0.0001,1.6396622043571251e-05,15442557,384883499,2780171,103080872,221795658,13317579,7672469,6226517,11185920,1719958,39966177,9776109,1,1,0,1,0,298973791,0.00046130881311836285,0.00012018337847241932,3.425745204770239e-06,0.00012789016682760205,1,0,1,1,19,19,0,221739705,6494061,39953062,0,0,285,77049151,0,0,285,27812692,285,11110783,285,40482376,114,21416359,1064,13051229,57313850,28972687,1,4,5,4,1,4,0,0,1,19,4,5,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,94,1,1,1.3808912271980337e-05,0,2,1,1,1,32,45,32,0.015862174636017808,1.4161817327297049e-08,1,0.015862174636017808,1e-08,9.9999999999999995e-07,1.5862174636017806e-08,15095179,645979499,2793303,162660163,371568217,31754590,13333494,16949576,10833972,1667535,72188788,15859209,1,1,0,1,0,301645097,3.425745204770239e-06,0.00012789016682760205,4.2412136409121296e-06,2.0728866895427739e-05,1,0,1,1,32,32,0,371436912,13351811,72171239,0,0,480,137720361,0,0,480,45871731,480,18755525,480,60872023,192,38819503,1792,23741813,94138058,42722375,1,5,5,5,0,5,0,0,1,32,5,7,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,94,1,1,1.3808912271980337e-05,0,2,2,1,1,27,41,27,0.0015942552553563044,5.8388899337860778e-09,1,0.0015942552553563044,1e-08,2.1158303710747213e-06,1e-08,14749991,544691789,2715708,154401139,319862675,13043717,10739976,4637495,10512366,1572270,62274780,18265723,1,1,1,0,0,302380425,4.2412136409121296e-06,2.0728866895427739e-05,1.4956682784053168e-06,6.2033010580826668e-06,1.1981527639935912,0,1,1,27,27,0,319747468,14067346,62264059,0,0,405,111406174,0,0,405,40564104,405,17235995,405,55746443,162,33632423,1512,22306624,83647339,38352214,1,7,7,7,1,7,0,0,1,27,7,6,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,94,1,1,1.3808912271980337e-05,0,2,3,1,1,28,41,28,0.00048217153961915377,8.6357737790818574e-09,1,0.00048217153961915377,1e-08,9.9999999999999995e-07,1e-08,16067198,564797802,2730999,148057970,321695191,24608392,13302144,12102549,11547158,1720178,58858535,14396699,1,1,1,0,0,297665714,1.4956682784053168e-06,6.2033010580826668e-06,1.2926582937033386e-06,5.3872250064445417e-06,1.7155354588191363,0,1,1,28,28,0,321588966,13644637,58837832,0,0,420,110622161,0,0,420,41426092,420,18287033,420,53733759,168,35412581,1568,22218166,82595857,37705223,1,6,6,6,0,6,0,0,1,28,6,6,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,94,1,1,1.3808912271980337e-05,0,2,4,1,1,25,35,25,0.00042290516003619518,8.751953179196154e-09,1,0.00042290516003619518,1e-08,9.9999999999999995e-07,1e-08,14623855,710424489,2637414,128100633,395106265,25382703,41210967,12227786,10364208,1511117,83924732,13059283,1,1,1,1,0,537386535,1.2926582937033386e-06,5.3872250064445417e-06,2.1103261351428625e-07,7.5221407938637208e-07,1,0,1,1,25,25,0,395003972,58336384,83911990,0,0,375,113751428,0,0,375,53349368,375,14996174,375,48120728,150,62968339,1400,51460603,73759434,33318914,1,4,4,4,0,4,0,0,1,25,4,5,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,94,1,1,1.3808912271980337e-05,0,1,0,2,1,25,40,25,0.13540119174591983,1.1137232919519084e-05,1,0.13523027070482063,1e-08,0.0001,1.3523027070482063e-05,135159344,1244922111,2605573,720058856,289754848,11909951,113446934,4856287,11498366,1761050,70345799,4617444,1,1,0,1,0,326716042,0.00031205354691063995,7.7477274071909675e-05,2.1597472140589223e-07,3.5218360828250723e-07,1,0,1,1,25,25,0,289658355,9303461,50213374,0,0,375,94927313,0,0,375,38444419,375,14158123,375,53548145,150,29163116,1400,18160822,70825656,38215716,1,8,9,8,1,8,0,0,1,25,8,6,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,94,1,1,1.3808912271980337e-05,0,2,0,1,1,18,26,18,0.26111057611272004,1.1797177635078724e-05,1,0.16312459418448005,1e-08,0.0001,1.6312459418448006e-05,15677738,374996770,2532939,94040263,209828526,19298615,7828726,14360423,10679384,1659844,37731883,9448471,1,1,0,1,0,303326619,0.00039715019468961608,0.00010364567551202407,3.1641525387010635e-06,0.00011081995666844466,1,0,1,1,18,18,0,209766855,6448332,37720522,0,0,270,71426171,0,0,270,26441671,270,10340755,270,38416911,108,20079823,1008,12340638,53306624,27423106,1,2,2,2,0,2,0,0,1,18,2,5,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,94,1,1,1.3808912271980337e-05,0,2,1,1,1,36,56,36,0.015782040343763074,1.3213651137374546e-08,1,0.015782040343763074,1e-08,9.9999999999999995e-07,1.5782040343763072e-08,14887498,938240796,2826484,204021104,543132446,17370225,63860220,6024767,10523845,1572769,129463844,23877690,1,1,0,1,0,409840643,3.1641525387010635e-06,0.00011081995666844466,3.7073480173787915e-06,1.7642815161423369e-05,1,0,1,1,36,36,0,542979224,60067587,129438810,0,0,540,163534217,0,0,540,70728665,540,39266742,540,70113007,216,75985968,2016,59064402,107877314,48376614,1,11,11,11,1,11,0,0,1,36,11,8,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,94,1,1,1.3808912271980337e-05,0,2,2,1,1,24,35,24,0.0015842417750910149,7.9812421808657804e-09,1,0.0015842417750910149,1e-08,1.8028126806246755e-06,1e-08,21771889,583934608,2696188,143757820,347436203,18450507,24251685,6613349,13694589,1576641,103233591,30052412,1,1,1,0,0,349019646,3.7073480173787915e-06,1.7642815161423369e-05,1.4603016907350001e-06,5.5938531334343484e-06,1.1941911983531794,0,1,1,24,24,0,347345220,18618381,103218269,0,0,360,128572985,0,0,360,52814297,360,16404011,360,47431419,144,41736414,1344,30899529,74402570,33615987,1,4,5,4,1,4,0,0,1,24,4,6,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,94,1,1,1.3808912271980337e-05,0,2,3,1,1,24,33,24,0.00047108417267746936,9.4005214315272369e-09,1,0.00047108417267746936,1e-08,9.9999999999999995e-07,1e-08,15166613,611639009,2761531,123341752,303617970,46047865,30603737,28322530,10877174,1622353,68543152,15478320,1,1,1,0,0,355303213,1.4603016907350001e-06,5.5938531334343484e-06,1.3507024351986628e-06,5.4237977996835486e-06,1.7579302643052557,0,1,1,24,24,0,303523356,24625950,68529942,0,0,360,107629030,0,0,360,37041775,360,14035263,360,47701669,144,29883908,1344,18596825,67256645,32997750,1,2,2,2,0,2,0,0,1,24,2,6,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,94,1,1,1.3808912271980337e-05,0,2,4,1,1,24,35,24,0.0004351717429512289,8.4293779485240578e-09,1,0.0004351717429512289,1e-08,9.9999999999999995e-07,1e-08,15109609,459622836,2738490,125452361,274027483,14704498,6064681,4957864,10775299,1570500,49937621,11485237,1,1,0,1,0,298080880,1.3507024351986628e-06,5.4237977996835486e-06,2.1288531126055287e-07,8.3874858697626505e-07,1,0,1,1,24,24,0,273933687,7931057,49921009,0,0,360,97423323,0,0,360,34914143,360,14207860,360,47338565,144,29037072,1344,17967049,73194345,33760710,1,6,7,6,1,6,0,0,1,24,6,4,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,94,1,1,1.3808912271980337e-05,0,1,0,2,1,23,32,23,0.13530517627641594,1.1662752063876847e-05,1,0.13513357631356393,1e-08,0.0001,1.3513357631356394e-05,132954410,1042791601,2643264,574569985,271652256,15206294,104103768,6145857,10774628,1617692,61588692,4328622,1,1,0,1,0,345692923,0.00029959208763454513,7.8980825085259019e-05,2.3100093320880295e-07,2.9918846931946009e-07,1,0,1,1,23,23,0,271540177,10510676,47379162,0,0,345,88341120,0,0,345,37410094,345,12777646,345,48490807,138,28883111,1288,19004248,65235399,34952809,1,5,5,5,0,5,0,0,1,23,5,3,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,94,1,1,1.3808912271980337e-05,0,2,0,1,1,21,30,21,0.25973165088570466,7.8535275418345614e-06,1,0.1622955717905924,1e-08,0.0001,1.6229557179059242e-05,15181973,437982202,2713158,110191079,250210573,21657654,10815671,11689531,10720176,1654374,48017422,11548952,1,1,0,1,0,298926120,0.00036909210210423979,9.5848154674053196e-05,3.1988347734598775e-06,0.00010487301101025503,1,0,1,1,21,21,0,250139361,10227446,48003265,0,0,315,83482004,0,0,315,33338546,315,12467355,315,44405367,126,24029938,1176,15149233,62236088,31523947,1,3,3,3,0,3,0,0,1,21,3,5,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,94,1,1,1.3808912271980337e-05,0,2,1,1,1,32,47,32,0.015708181780465673,1.4592931672749069e-08,1,0.015708181780465673,1e-08,9.9999999999999995e-07,1.5708181780465672e-08,15001624,679492168,2594852,170788898,370937064,37572941,22475763,20745997,10811511,1665024,65343305,17836345,1,1,0,1,0,296309767,3.1988347734598775e-06,0.00010487301101025503,3.6386006878526999e-06,1.4935107165625729e-05,1,0,1,1,32,32,0,370837479,20848500,65327327,0,0,480,127197988,0,0,480,47471662,480,18594511,480,59373205,192,41388172,1792,26044522,93432568,42346440,1,7,7,7,0,7,0,0,1,32,7,7,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,94,1,1,1.3808912271980337e-05,0,2,2,1,1,29,41,29,0.0015793267100558143,5.6205700991124242e-09,1,0.0015793267100558143,1e-08,1.5371949811730689e-06,1e-08,14894178,556770889,2746970,149338443,336399988,12744779,12879066,5187845,10581048,1512577,60185320,15162021,1,1,1,0,0,301495981,3.6386006878526999e-06,1.4935107165625729e-05,1.164422860016166e-06,4.4515719686519653e-06,1.1716580468004785,0,1,1,29,29,0,336279561,14452330,60168171,0,0,435,120281690,0,0,435,41968601,435,17158813,435,56169853,174,35762229,1624,22155378,89142950,38979404,1,8,9,8,2,8,0,0,1,29,8,3,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
