step,rank,level,initialized,complete,attempts,successes,failures,apply_ns,reduction_ns,visits,pre_smooth_calls,pre_smooth_ns,residual_calls,residual_ns,restriction_calls,restriction_ns,prolongation_calls,prolongation_ns,post_smooth_calls,post_smooth_ns,terminal_calls,terminal_ns,direct_mpi_calls,direct_mpi_ns,halo_wait_ns,halo_control_ns,halo_control_calls,source_meta_sha256
10511,123,-1,1,1,158,158,0,1946548971,142058076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,123,0,1,1,0,0,0,0,0,158,158,453103461,0,0,158,174607221,158,49490803,158,213354165,0,0,0,0,89043372,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,123,1,1,1,0,0,0,0,0,316,316,52389496,0,0,316,54025653,316,15045052,316,51255333,0,0,632,6464427,49819057,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,123,2,1,1,0,0,0,0,0,474,474,54631389,0,0,474,34555379,474,7591801,474,13190492,0,0,1264,2113821,79050569,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,123,3,1,1,0,0,0,0,0,632,632,31085404,0,0,632,32230682,632,6173269,632,7830079,0,0,1896,1770686,63145572,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,123,4,1,1,0,0,0,0,0,790,790,64703907,0,0,790,3796171,790,12136245,790,12196500,0,0,2528,2191182,76452600,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,123,5,1,1,0,0,0,0,0,948,0,0,0,0,0,0,0,0,0,0,948,184498854,2528,97263778,9465815,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,123,-1,1,1,151,151,0,1968478413,154051258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,123,0,1,1,0,0,0,0,0,151,151,430584653,0,0,151,166588847,151,47215341,151,205650643,0,0,0,0,87407070,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,123,1,1,1,0,0,0,0,0,302,302,46889450,0,0,302,51323879,302,15084242,302,48614332,0,0,604,6308022,44062775,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,123,2,1,1,0,0,0,0,0,453,453,87661936,0,0,453,32653158,453,6522808,453,12788229,0,0,1208,2016340,111133371,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,123,3,1,1,0,0,0,0,0,604,604,37691554,0,0,604,31556845,604,6643990,604,25900297,0,0,1812,2060415,86605941,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,123,4,1,1,0,0,0,0,0,755,755,75445723,0,0,755,3844005,755,12112626,755,9758406,0,0,2416,3297920,84450991,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,123,5,1,1,0,0,0,0,0,906,0,0,0,0,0,0,0,0,0,0,906,191060493,2416,108749258,9428038,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,123,-1,1,1,155,155,0,1797506538,97457298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,123,0,1,1,0,0,0,0,0,155,155,444776197,0,0,155,172657881,155,48162372,155,210437395,0,0,0,0,91876638,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,123,1,1,1,0,0,0,0,0,310,310,46784786,0,0,310,54694582,310,14897429,310,49855948,0,0,620,6347517,46168523,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,123,2,1,1,0,0,0,0,0,465,465,38968829,0,0,465,18777483,465,7243469,465,12700845,0,0,1240,2171546,47425278,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,123,3,1,1,0,0,0,0,0,620,620,25023389,0,0,620,32918976,620,5340840,620,7119142,0,0,1860,1748059,57070231,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,123,4,1,1,0,0,0,0,0,775,775,47486448,0,0,775,4116395,775,12613767,775,9017564,0,0,2480,2273352,55778943,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,123,5,1,1,0,0,0,0,0,930,0,0,0,0,0,0,0,0,0,0,930,164690608,2480,79913153,10128025,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10514,123,-1,1,1,152,152,0,1745121253,100221579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10514,123,0,1,1,0,0,0,0,0,152,152,424091759,0,0,152,168311915,152,47878599,152,206273055,0,0,0,0,85590347,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10514,123,1,1,1,0,0,0,0,0,304,304,46291764,0,0,304,51020750,304,14507210,304,48381453,0,0,608,6187276,43359607,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10514,123,2,1,1,0,0,0,0,0,456,456,38764592,0,0,456,16883210,456,6272613,456,12516800,0,0,1216,1973271,45846471,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10514,123,3,1,1,0,0,0,0,0,608,608,19588879,0,0,608,32733628,608,5350412,608,7287852,0,0,1824,1780665,50953432,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10514,123,4,1,1,0,0,0,0,0,760,760,48143849,0,0,760,3779407,760,11281439,760,9800884,0,0,2432,2226815,57195746,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10514,123,5,1,1,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,912,158337371,2432,74792948,9111215,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10515,123,-1,1,1,161,161,0,1851905034,86859138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10515,123,0,1,1,0,0,0,0,0,161,161,462746973,0,0,161,177680434,161,50256088,161,219063194,0,0,0,0,88193519,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10515,123,1,1,1,0,0,0,0,0,322,322,49880075,0,0,322,54846830,322,15395777,322,51295625,0,0,644,6538013,45756216,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10515,123,2,1,1,0,0,0,0,0,483,483,37918017,0,0,483,18772992,483,6498523,483,14044240,0,0,1288,2206373,46870957,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10515,123,3,1,1,0,0,0,0,0,644,644,27669153,0,0,644,34348375,644,5918402,644,8027439,0,0,1932,1855666,60778386,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10515,123,4,1,1,0,0,0,0,0,805,805,50964239,0,0,805,3668709,805,12678477,805,10109041,0,0,2576,2228844,60300669,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10515,123,5,1,1,0,0,0,0,0,966,0,0,0,0,0,0,0,0,0,0,966,167570896,2576,79350362,10125432,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10516,123,-1,1,1,163,163,0,1892050370,92375461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
