step,rank,level,initialized,complete,attempts,successes,failures,apply_ns,reduction_ns,visits,pre_smooth_calls,pre_smooth_ns,residual_calls,residual_ns,restriction_calls,restriction_ns,prolongation_calls,prolongation_ns,post_smooth_calls,post_smooth_ns,terminal_calls,terminal_ns,direct_mpi_calls,direct_mpi_ns,halo_wait_ns,halo_control_ns,halo_control_calls,source_meta_sha256
10511,98,-1,1,1,158,158,0,1940365435,95048919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,98,0,1,1,0,0,0,0,0,158,158,475088753,0,0,158,169137127,158,52408115,158,241447926,0,0,0,0,117814943,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,98,1,1,1,0,0,0,0,0,316,316,110316440,0,0,316,104551871,316,16566079,316,59358467,0,0,632,5832488,160784058,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,98,2,1,1,0,0,0,0,0,474,474,20590031,0,0,474,10072635,474,6805701,474,14212577,0,0,1264,2292474,19290846,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,98,3,1,1,0,0,0,0,0,632,632,28216849,0,0,632,12116625,632,4674075,632,9338987,0,0,1896,1930196,39590509,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,98,4,1,1,0,0,0,0,0,790,790,7622830,0,0,790,3076878,790,13054973,790,9653856,0,0,2528,1615304,13370925,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,98,5,1,1,0,0,0,0,0,948,0,0,0,0,0,0,0,0,0,0,948,196109926,2528,110667418,9331299,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,98,-1,1,1,151,151,0,1963741269,121703398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,98,0,1,1,0,0,0,0,0,151,151,449733857,0,0,151,186839852,151,48748374,151,220029620,0,0,0,0,131986978,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,98,1,1,1,0,0,0,0,0,302,302,116827867,0,0,302,116239236,302,16423607,302,55366485,0,0,604,5233589,179688594,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,98,2,1,1,0,0,0,0,0,453,453,19694120,0,0,453,38311485,453,6194577,453,14024407,0,0,1208,2506555,47589665,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,98,3,1,1,0,0,0,0,0,604,604,11643038,0,0,604,12384219,604,4142813,604,7347379,0,0,1812,1713260,21577040,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,98,4,1,1,0,0,0,0,0,755,755,8358570,0,0,755,3404614,755,26408436,755,29057478,0,0,2416,1610618,33647973,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,98,5,1,1,0,0,0,0,0,906,0,0,0,0,0,0,0,0,0,0,906,179103464,2416,98122650,22732445,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,98,-1,1,1,155,155,0,1792069001,57242634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,98,0,1,1,0,0,0,0,0,155,155,471829660,0,0,155,166477408,155,51132561,155,231084688,0,0,0,0,102753954,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,98,1,1,1,0,0,0,0,0,310,310,76574249,0,0,310,101711127,310,16633880,310,56654259,0,0,620,5305522,123571440,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,98,2,1,1,0,0,0,0,0,465,465,23110293,0,0,465,10810369,465,6399776,465,14524781,0,0,1240,2162934,22886506,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,98,3,1,1,0,0,0,0,0,620,620,14762635,0,0,620,11254134,620,4154954,620,7737840,0,0,1860,1642749,23964782,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,98,4,1,1,0,0,0,0,0,775,775,6965408,0,0,775,3264027,775,8432313,775,9840149,0,0,2480,1520736,12775304,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10513,98,5,1,1,0,0,0,0,0,930,0,0,0,0,0,0,0,0,0,0,930,165021525,2480,82284095,5109098,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10514,98,-1,1,1,152,152,0,1740794745,69329245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10514,98,0,1,1,0,0,0,0,0,152,152,446901194,0,0,152,162475492,152,50777114,152,216591743,0,0,0,0,88178417,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10514,98,1,1,1,0,0,0,0,0,304,304,73088586,0,0,304,103754497,304,16359901,304,54570046,0,0,608,5629980,122327700,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10514,98,2,1,1,0,0,0,0,0,456,456,19768231,0,0,456,9879429,456,6356763,456,13879563,0,0,1216,2425002,18659025,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10514,98,3,1,1,0,0,0,0,0,608,608,10116722,0,0,608,11209716,608,4579261,608,7503675,0,0,1824,1668625,19534782,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10514,98,4,1,1,0,0,0,0,0,760,760,6682015,0,0,760,3143693,760,7886695,760,8082356,0,0,2432,1918874,10392284,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10514,98,5,1,1,0,0,0,0,0,912,0,0,0,0,0,0,0,0,0,0,912,162546953,2432,81400861,4669113,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10515,98,-1,1,1,161,161,0,1845994425,53641270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10515,98,0,1,1,0,0,0,0,0,161,161,487250275,0,0,161,171282441,161,53423966,161,231870127,0,0,0,0,96640111,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10515,98,1,1,1,0,0,0,0,0,322,322,79468732,0,0,322,113222544,322,16953485,322,58064153,0,0,644,5619301,134268034,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10515,98,2,1,1,0,0,0,0,0,483,483,21387711,0,0,483,10866618,483,6451576,483,14819930,0,0,1288,2386659,20304904,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10515,98,3,1,1,0,0,0,0,0,644,644,10906085,0,0,644,11868195,644,4604304,644,8251852,0,0,1932,1730690,20722046,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10515,98,4,1,1,0,0,0,0,0,805,805,7578363,0,0,805,3449883,805,9329044,805,8162464,0,0,2576,1711489,11952904,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10515,98,5,1,1,0,0,0,0,0,966,0,0,0,0,0,0,0,0,0,0,966,172295101,2576,86395029,5758469,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10516,98,-1,1,1,163,163,0,1885832641,56327176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10516,98,0,1,1,0,0,0,0,0,163,163,493810652,0,0,163,175621951,163,55387364,163,231933643,0,0,0,0,99291062,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10516,98,1,1,1,0,0,0,0,0,326,326,79773300,0,0,326,123619898,326,17415183,326,60128544,0,0,652,6079355,145684688,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10516,98,2,1,1,0,0,0,0,0,489,489,20952741,0,0,489,10262468,489,7004492,489,15174177,0,0,1304,2406982,19544997,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10516,98,3,1,1,0,0,0,0,0,652,652,10955338,0,0,652,11748244,652,4618813,652,8256148,0,0,1956,1895247,20938207,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10516,98,4,1,1,0,0,0,0,0,815,815,7635789,0,0,815,3571357,815,10134590,815,8105870,0,0,2608,1742716,11991773,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10516,98,5,1,1,0,0,0,0,0,978,0,0,0,0,0,0,0,0,0,0,978,177146504,2608,90081116,6620229,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10517,98,-1,1,1,166,166,0,1931998859,53267164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10517,98,0,1,1,0,0,0,0,0,166,166,508516356,0,0,166,178497804,166,56114125,166,241188612,0,0,0,0,104955962,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10517,98,1,1,1,0,0,0,0,0,332,332,79846212,0,0,332,115128803,332,17837189,332,60316846,0,0,664,5921405,135328705,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10517,98,2,1,1,0,0,0,0,0,498,498,22392209,0,0,498,10896373,498,6981344,498,15198676,0,0,1328,2606069,20931890,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10517,98,3,1,1,0,0,0,0,0,664,664,12014497,0,0,664,11962355,664,5885045,664,8323642,0,0,1992,1863809,21906702,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10517,98,4,1,1,0,0,0,0,0,830,830,8481887,0,0,830,3275709,830,9790879,830,12371136,0,0,2656,2755721,16460599,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10517,98,5,1,1,0,0,0,0,0,996,0,0,0,0,0,0,0,0,0,0,996,189375266,2656,98935865,6046855,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10518,98,-1,1,1,152,152,0,1731953238,51170606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10518,98,0,1,1,0,0,0,0,0,152,152,453048534,0,0,152,161716200,152,51630522,152,216143464,0,0,0,0,86219427,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10518,98,1,1,1,0,0,0,0,0,304,304,72255366,0,0,304,103814001,304,16567644,304,55215946,0,0,608,5874134,121338423,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10518,98,2,1,1,0,0,0,0,0,456,456,19671959,0,0,456,9618378,456,6432520,456,14340388,0,0,1216,2463132,17835252,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
