step,rank,level,initialized,complete,attempts,successes,failures,apply_ns,reduction_ns,visits,pre_smooth_calls,pre_smooth_ns,residual_calls,residual_ns,restriction_calls,restriction_ns,prolongation_calls,prolongation_ns,post_smooth_calls,post_smooth_ns,terminal_calls,terminal_ns,direct_mpi_calls,direct_mpi_ns,halo_wait_ns,halo_control_ns,halo_control_calls,source_meta_sha256
10511,78,-1,1,1,158,158,0,1942631556,96149807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,78,0,1,1,0,0,0,0,0,158,158,473009868,0,0,158,179678882,158,51907376,158,235277630,0,0,0,0,160082813,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,78,1,1,1,0,0,0,0,0,316,316,53476797,0,0,316,48147568,316,17745261,316,64427318,0,0,632,5561985,41117932,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,78,2,1,1,0,0,0,0,0,474,474,61938820,0,0,474,21850145,474,8650185,474,14791216,0,0,1264,3474407,68179204,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,78,3,1,1,0,0,0,0,0,632,632,8539947,0,0,632,19779349,632,6584936,632,7768032,0,0,1896,2960398,25104698,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,78,4,1,1,0,0,0,0,0,790,790,34948476,0,0,790,3504618,790,13667732,790,9069208,0,0,2528,2927273,39408851,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10511,78,5,1,1,0,0,0,0,0,948,0,0,0,0,0,0,0,0,0,0,948,227410435,2528,141289462,10234220,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,78,-1,1,1,151,151,0,1967452761,107950708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,78,0,1,1,0,0,0,0,0,151,151,450660614,0,0,151,169844094,151,49070224,151,228809013,0,0,0,0,151090843,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,78,1,1,1,0,0,0,0,0,302,302,54052341,0,0,302,44434727,302,17316774,302,60154715,0,0,604,4906924,40810996,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,78,2,1,1,0,0,0,0,0,453,453,61060523,0,0,453,11119994,453,7217270,453,14013373,0,0,1208,3553067,56830451,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,78,3,1,1,0,0,0,0,0,604,604,28407911,0,0,604,32464862,604,6393311,604,7396584,0,0,1812,2725328,56903723,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
10512,78,4,1,1,0,0,0,0,0,755,755,64491722,0,0,755,3341476,755,26726114,755,12864506,0,0,2416,2716912,73133116,0,0,5eb7747ecbde451de49ea2bb0b40c31b43aa1915d4f074ed405d0301b7d991a6
