110
200 1 0 0 0 0 0 0 6.03024713044507511E-06
200 0 1 0 0 0 0 0 5.80455666255539866E-06
200 0 0 1 0 0 0 0 1.24073144769578716E-05
200 0 0 0 1 0 0 0 1.01495041868575596E-05
200 0 0 0 0 1 0 0 1.44574674784350489E-05
200 0 0 0 0 0 1 0 1.28422489262794238E-05
200 0 0 0 0 0 0 1 3.70767348256000084E-06
200 0.02 0.10000000000000001 0.050000000000000003 0.10000000000000001 0.17999999999999999 0.45000000000000001 0.10000000000000001 1.07644472280792743E-05
200 0.10000000000000001 0.10000000000000001 0.14999999999999999 0.20000000000000001 0.050000000000000003 0.29999999999999999 0.10000000000000001 9.80836492996007555E-06
200 0 0 0 0 0.23300000000000001 0.76700000000000002 0 1.31877813092273030E-05
300 1 0 0 0 0 0 0 7.79620465967580784E-06
300 0 1 0 0 0 0 0 8.40333986317441335E-06
300 0 0 1 0 0 0 0 1.73292952213936126E-05
300 0 0 0 1 0 0 0 1.51594818773092192E-05
300 0 0 0 0 1 0 0 2.04620492969798740E-05
300 0 0 0 0 0 1 0 1.78563669264473049E-05
300 0 0 0 0 0 0 1 5.15301188311000126E-06
300 0.02 0.10000000000000001 0.050000000000000003 0.10000000000000001 0.17999999999999999 0.45000000000000001 0.10000000000000001 1.51233018794522938E-05
300 0.10000000000000001 0.10000000000000001 0.14999999999999999 0.20000000000000001 0.050000000000000003 0.29999999999999999 0.10000000000000001 1.35973259286896570E-05
300 0 0 0 0 0.23300000000000001 0.76700000000000002 0 1.84081600303232865E-05
399.999999 1 0 0 0 0 0 0 9.31915999132961429E-06
399.999999 0 1 0 0 0 0 0 1.11828166474574527E-05
399.999999 0 0 1 0 0 0 0 2.15371182792790346E-05
399.999999 0 0 0 1 0 0 0 1.98153865905052195E-05
399.999999 0 0 0 0 1 0 0 2.56343871710132695E-05
399.999999 0 0 0 0 0 1 0 2.21336432378274260E-05
399.999999 0 0 0 0 0 0 1 7.60000249717904173E-06
399.999999 0.02 0.10000000000000001 0.050000000000000003 0.10000000000000001 0.17999999999999999 0.45000000000000001 0.10000000000000001 1.92400611088299531E-05
399.999999 0.10000000000000001 0.10000000000000001 0.14999999999999999 0.20000000000000001 0.050000000000000003 0.29999999999999999 0.10000000000000001 1.71353909235680708E-05
399.999999 0 0 0 0 0.23300000000000001 0.76700000000000002 0 2.28706016821006877E-05
400 1 0 0 0 0 0 0 9.31916000572116993E-06
400 0 1 0 0 0 0 0 1.11828166755766443E-05
400 0 0 1 0 0 0 0 2.15371183186278248E-05
400 0 0 0 1 0 0 0 1.98153866350538636E-05
400 0 0 0 0 1 0 0 2.56343872194749179E-05
400 0 0 0 0 0 1 0 2.21336432778041116E-05
400 0 0 0 0 0 0 1 7.60000253536000135E-06
400 0.02 0.10000000000000001 0.050000000000000003 0.10000000000000001 0.17999999999999999 0.45000000000000001 0.10000000000000001 1.92400611502727680E-05
400 0.10000000000000001 0.10000000000000001 0.14999999999999999 0.20000000000000001 0.050000000000000003 0.29999999999999999 0.10000000000000001 1.71353909588477452E-05
400 0 0 0 0 0.23300000000000001 0.76700000000000002 0 2.28706017238291898E-05
400.000001 1 0 0 0 0 0 0 9.31916002011272557E-06
400.000001 0 1 0 0 0 0 0 1.11828167036958359E-05
400.000001 0 0 1 0 0 0 0 2.15371183579766116E-05
400.000001 0 0 0 1 0 0 0 1.98153866796025010E-05
400.000001 0 0 0 0 1 0 0 2.56343872679365629E-05
400.000001 0 0 0 0 0 1 0 2.21336433177807971E-05
400.000001 0 0 0 0 0 0 1 7.60000603818095860E-06
400.000001 0.02 0.10000000000000001 0.050000000000000003 0.10000000000000001 0.17999999999999999 0.45000000000000001 0.10000000000000001 1.92400617729786039E-05
400.000001 0.10000000000000001 0.10000000000000001 0.14999999999999999 0.20000000000000001 0.050000000000000003 0.29999999999999999 0.10000000000000001 1.71353914107718607E-05
400.000001 0 0 0 0 0.23300000000000001 0.76700000000000002 0 2.28706017655576886E-05
600 1 0 0 0 0 0 0 1.19655058199428579E-05
600 0 1 0 0 0 0 0 1.67438650709361108E-05
600 0 0 1 0 0 0 0 2.86174958105271500E-05
600 0 0 0 1 0 0 0 2.80071889732484244E-05
600 0 0 0 0 1 0 0 3.43673622415303692E-05
600 0 0 0 0 0 1 0 2.93249982988142562E-05
600 0 0 0 0 0 0 1 1.41730303152537165E-05
600 0.02 0.10000000000000001 0.050000000000000003 0.10000000000000001 0.17999999999999999 0.45000000000000001 0.10000000000000001 2.66294159927505296E-05
600 0.10000000000000001 0.10000000000000001 0.14999999999999999 0.20000000000000001 0.050000000000000003 0.29999999999999999 0.10000000000000001 2.34626546163605857E-05
600 0 0 0 0 0.23300000000000001 0.76700000000000002 0 3.03796129349340954E-05
900 1 0 0 0 0 0 0 1.53608965090146644E-05
900 0 1 0 0 0 0 0 2.44241645428443819E-05
900 0 0 1 0 0 0 0 3.73118100410213972E-05
900 0 0 0 1 0 0 0 3.82654256511764831E-05
900 0 0 0 0 1 0 0 4.50797885027669790E-05
900 0 0 0 0 0 1 0 3.81633793467734900E-05
